Drug Name,BW,C,W,P,AR,PPI-MG,Month
Cardene (nicardipine hydrochloride) Injection,,,,,,,7/1/2014
Cardene (nicardipine hydrochloride) premixed injection,,,,,,,1/1/2010
Cardizem (diltiazem hydrochloride) Tablets,,,,X,X,,11/1/2014
"Cardizem CD (diltiazem hydrochloride) Capsules and Tablets 
Cardizem LA (diltiazem hydrochloride) Extended-Release Tablets",,,,,,,11/1/2010
Cardizem LA (diltiazem hydrochloride) Extended Release Tablets,,,X,X,,PCI,3/1/2015
"Cardura (doxazosin mesylate) 1, 2, 4, and 8 mg tablets",,,,,,,7/1/2009
Cardura (doxazosin mesylate) tablets,,,,,,,1/1/2010
Cardura XL (doxazosin mesylate) extended release tablets,,,,,,,3/1/2010
"Carnitor (levocarnitine) Tablets, Oral Solution, Sugar-free Oral Solution, Injection",,,,X,,,5/1/2015
Casodex (bicalutamide) tablet,,,,,,,9/1/2010
Casodex (bicalutamide) Tablets,,,,,X,,2/1/2015
Cataflam (diclofenac potassium immediate-release tablets),,,,,,,2/1/2011
Catapres (clonidine hydrochloride) Tablets,,,,,,,5/1/2012
Catapres (clonidine hydrochloride) tablets,,,,,,,11/1/2009
Catapres-TTS (clonidine) trandsdermal therapeutic system,,,,,,,11/1/2009
Catapres-TTS (clonidine) Transdermal Therapeutic System,,,,,,,5/1/2012
Caverject Impulse Dual Chamber System (alprostadil for injection),,,,,,,12/1/2013
Cayston (aztreonam for inhalation solution),,,,,,,9/1/2012
"Cefepime for Injection USP and Dextrose Injection USP in the Duplex Container
Cefepime Injection in the GALAXY Container for intravenous use",,,,,,,9/1/2012
Cefobid (sterile cefoperazone) Injection,,,X,,X,,3/1/2015
Cefoxitin for injection and Dextrose injection in the Duplex container,,,,,,,2/1/2010
Ceftazidime for Injection USP and Dextrose Injection USP,,,,X,,,5/1/2015
Ceftriaxone for Injection and Dextrose Injection in Duplex Container,,,,,,,1/1/2012
Ceftriaxone for Injection and Dextrose Injection in the Duplex Container,,,,,,,6/1/2010
Celexa (citalopram hydrobromide) Tablets and  Oral Solution,,,,,,,8/1/2011
Celexa (citalopram hydrobromide) Tablets and Oral Solution,,,,,,,3/1/2012
CellCept (mycophenolate mofetil hydrochloride) for injection Intravenous,,,,,,,6/1/2012
CellCept (mycophenolate mofetil),,,,,,,9/1/2013
"CellCept (mycophenolate mofetil) Capsules, Tablets, Injection and Suspension",,,,,,,6/1/2009
"CellCept (mycophenolate mofetil) capsules, tablets, intravenous injection and oral suspension",,,,,,,10/1/2009
"CellCept (mycophenolate mofetil) Capsules, Tablets, Oral Suspension and CellCept (mycophenolate mofetil hydrochloride) for Injection",,,,,,,9/1/2012
"Cenestin (Synthetic Conjugated Estrogens, A) Tablets",,X,X,X,,,3/1/2015
Cerebyx (Fosphenytoin Sodium Injection),,,,,,,6/1/2014
Cerebyx (fosphenytoin sodium) Injection,,,,,,,3/1/2013
Cerebyx (fosphenytoin sodium) Injection,,,,,,,11/1/2011
Cerebyx (fosphenytoin),,,,,,,1/1/2014
Cervidil (dinoprostone) vaginal insert,,,,,,,5/1/2010
Chantix (varenicline) 0.5 mg and 1 mg tablets,,,,,,,7/1/2009
Chantix (varenicline) Tablets,,,,,X,"MG, PCI",10/1/2014
Chantix (varenicline) Tablets,,,,,,,7/1/2011
Chantix (varenicline) tablets,,,,,,,10/1/2009
Chantix (varenicline) Tablets 0.5 mg and 1 mg,,,,,,,1/1/2012
Chantix (varenicline) Tablets; 0.5 mg and 1 mg,,,X,X,X,,9/1/2014
ChloraPrep [chlorhexidine gluconate (2% w/v) and isopropyl alcohol (70% v/v)] solution [OTC],,,,,,,3/1/2010
Chlorascrub Swabsticks,,,,,,,5/1/2012
Cialis (tadalafil) tablets,,,,,,,2/1/2010
Cialis (tadalafil) tablets 5 mg,,,,,,,4/1/2014
Cimzia (certolizumab pegol),,,,,,,11/1/2012
"Cipro (ciprofloxacin hydrochloride) Tablets, Oral Suspension, IV and Cipro XR (ciprofloxacin extended-release tablets)",,,,,,,2/1/2011
"Ciprofloxacin Tablets
Ciprofloxacin IV for Inusion Vial
Ciprofloxacin 0.2 % Solution in 5% Dextrose
Ciprofloxacin Oral Suspension
Cipro XR Tablets",,,,,,,10/1/2011
Ciprofloxin,,,,,,,1/1/2013
"CISplatin Injection, Sterile Aqueous Injection",,,,,X,,2/1/2015
Claforan (cefotaxime sodium) Injection,,,,,,,9/1/2011
"Claforan (cefotaxime) Injection
Claforan (cefotaxime sodium) Sterile IM/IV",,,,X,,,3/1/2015
"Claforan Sterile (cefotaxime for injection, USP) and Injection (cefotaxime injection, USP)",,,,,,,5/1/2009
"Clarinex (desloratadine) Tablets, Clarinex (desloratadine) Oral Solution, and Clarinex (desloratadine) Reditabs",,,,,,,4/1/2014
Clarinex D 12-HOUR and 24-HOUR Extended Release Tablets,,,,,,,3/1/2014
Cleocin HCL (clindamycin hydrochloride) Capsules,,,,,,,6/1/2014
Cleocin HCL (clindamycin hydrochloride) capsules,,,,,,,11/1/2009
"Cleocin HCl (clindamycin hydrochloride) vaginal cream
Cleocin Phosphate (clindamycin phosphate) vaginal suppositories and vaginal ovules",,,,,,,5/1/2014
"Cleocin Phosphate (Clindamycin injection, USP) and (clindamycin injection in 5 percent dextrose)",,,,,,,6/1/2014
"Cleocin T (clindamycin phosphate) lotion, solution, and gel, 1 Percent",,,,,,,4/1/2014
Climara (estradiol) transdermal system and Climara Pro (estradiol/levonorgestrel) transdermal system,,,,,,,10/1/2013
Clinoril (sulindac) tablets,,,,,,,6/1/2010
"Clobex (clobetasol propionate) Spray, 0.05%",,,,,,,9/1/2012
Clolar (clofarabine) Injection,,,,,,,1/1/2013
"Clolar (clofarabine) Injection, 1 mg/mL",,,X,X,X,,9/1/2014
Clozaril (clozapine HCl) tablets,,,,,,,1/1/2010
Clozaril (clozapine) 25 mg and 100 mg tablets,,,,,X,,9/1/2014
Clozaril (clozapine) Oral Tablets,,,,,,,3/1/2013
Clozaril (clozapine) Oral Tablets,,,,,,,7/1/2013
Clozaril (clozapine) Tablets,,,,,,,10/1/2011
Coartem (artemether/lumefantrine) Tablets,,,,,X,,3/1/2015
Colcrys (colchicine) Tablets,,,,,,,7/1/2011
Colestid (colestipol HCl) granules and tablets,,,,,,,5/1/2014
"Coly-Mycin M Parenteral (colistimethate for Injection, USP)",,,,,,,5/1/2009
"Coly-Mycin M Parenteral Solution (colistimethate sodium, USP)",,,,,,,3/1/2013
Coly-Mycin S Otic (colistin sulfate-neomycin sulfate-thonzonium bromide-hydrocortisone acetate) otic suspension,,,,,,,6/1/2009
CombiPatch (estradiol/norethindrone acetate transdermal system),,,,X,X,,5/1/2015
CombiPatch (estradiol/norethindrone acetate transdermal system),,,,,,,9/1/2013
Combivent (ipratropium bromide and albuterol sulfate) Inhalation Aerosol,,,,,,,6/1/2009
Combivent Inhalation Aerosol (ipratropium bromide and albuterol sulfate) Inhalation Aerosol,,,,,,,5/1/2009
"Complera (emtricitabine, rilpivirine, tenofovir disoproxilfumarate) tablets, for oral use",,,,,,,6/1/2014
Complera (emtricitabine/rilpivirine/tenofovir disoproxil fumarate) 1 200 mg/25 mg /300 mg fixed dose combination (FDC) tablets,,,,,,,1/1/2013
Complera (emtricitabine/rilpivirine/tenofovir disoproxil fumarate) Tablet,,,X,X,X,PCI,5/1/2015
Comtan (entacapone) Tablets,,,,,,,6/1/2014
"Concerta (methylphenidate HCL) 18 mg, 27 mg, 36 mg, and 54 mg Extended-Release Capsules",,,,,,,5/1/2013
"Concerta (methylphenidate HCl) Extended-release Tablets

*rhabdomyolysis",,,,,X,,4/1/2015
Copegus (ribavirin) tablet,,,,,,,3/1/2010
Copegus (ribavirin) tablets,,,,,,,6/1/2010
Cordarone (amiodarone HCl) 1 200 mg tablets,,,,,,,9/1/2009
Cordarone (amiodarone HCl) 1 200 mg tablets,,,,,,,11/1/2009
Cordarone (amiodarone HCl) Tablets,,,,,,,1/1/2014
Cordarone (amiodarone HCl) Tablets,,,,X,X,,12/1/2014
Cordarone (amiodarone HCl) Tablets,,,,,,,11/1/2011
Cordarone (amiodarone HCl) tablets,,,,,,,12/1/2010
Cordarone (amiodarone hydrochloride) Tablets,,,X,X,,,3/1/2015
"Cordran (flurandrenolide, USP) Lotion",,,,,,,7/1/2011
"Coreg (carvedilol) 3.125 mg, 6.25 mg, 12.5 mg, and 25 mg tablets",,,,,,,6/1/2009
"Coreg (carvedilol) Tablets
Coreg CR (carvedilol phosphate) Extended Release Capsules",,,,,,,7/1/2011
"Coreg CR (carvedilol phosphate) 10 mg, 1 20 mg, 40 mg, and 80 mg Extended Release Capsules",,,,,,,6/1/2009
Corgard (nadolol) tablets,,,,,,,6/1/2011
Corzide (nadolol and bendroflumethiazide) tablets,,,,,,,6/1/2011
Cosopt (dorzolamide hydrochloride and timolol maleate) ophthalmic solution,,,,,,,6/1/2010
Coumadin (warfarin sodium) tablet and injection,,,,,,,1/1/2010
Covera HS (verapamil hydrochloride) extended release tablets,,,,,,,4/1/2010
Covera-HS (verapamil hydrochloride) Extended Release tablets,,,,,,,6/1/2009
"Cozaar (losartan potassium) 25 mg, 50 mg, and 100 mg Tablets",,,,X,,PI,9/1/2014
"Cozaar (losartan potassium) 25 mg, 50 mg, and 100 mg Tablets",,,,,,,6/1/2009
Cozaar (losartan potassium) Tablets,,,,,,,3/1/2013
"Cozaar (losartan) 25 mg, 50 mg, and 100 mg Tablets",,,,,,,1/1/2014
Cozaar (losartan) Tablets,,,,,,,11/1/2011
Creon (pancrelipase) delayed-release capsules,,,,,,,7/1/2011
Creon (pancrelipase) delayed-release capsules,,,,,,,7/1/2010
Crestor (rosuvastatin calcium) tablets,,,,,,,7/1/2014
Crestor (Rosuvastatin Calcium) Tablets,,,,,,,8/1/2013
Crestor (rosuvastatin calcium) Tablets,,,,,,,2/1/2012
Crestor (rosuvastatin calcium) tablets,,,,,,,1/1/2010
Crestor (rosuvastatin calcium) Tablets,,,,,,,11/1/2010
Crixivan (indinavir sulfate),,,,,,,7/1/2014
Crixivan (indinavir sulfate) Capsules,,,,,,,2/1/2012
"Crixivan (indinavir sulfate) Capsules

*HIV protease inhibitor drug-drug interactions",,,X,X,,,3/1/2015
Cubicin (daptomycin for injection) Intravenous,,,X,X,,,11/1/2014
Cubicin (daptomycin for injection) Intravenous,,,,,,,5/1/2012
Cubicin (Daptomycin) for Injection,,,,,,,11/1/2013
Cubicin (daptomycin) for injection,,,,,,,8/1/2010
Cutivate (fluticasone propionate) cream,,,,,,,9/1/2010
Cutivate (fluticasone propionate) lotion,,,,,,,9/1/2010
Cyanokit (hydroxocobalamin for Injection),,,,,,,4/1/2011
Cyanokit (hydroxocobalamin) intravenous use,,,,,,,10/1/2010
Cyklokapron (tranexamic acid) Injection,,,,,,,1/1/2011
Cymbalta (duloxetine hydrochloride) Capsules,X,,,,,,10/1/2014
Cymbalta (duloxetine hydrochloride) capsules,,,,,,,9/1/2011
Cymbalta (duloxetine) Delayed-release Capsules,,,X,X,,,11/1/2014
"Cyramza (ramucirumab) injection, for intravenous use",,,X,X,,,12/1/2014
Cytotec (misoprostol) Tablets,,,,,,,11/1/2012
Cytotec (misoprostol) tablets,,,,,,,9/1/2009
Dantrium (dantrolene sodium) Oral Capsule,,,,,,,7/1/2012
"Darvon (propoxyphene hydrochloride) capsules, Darvon-N (propoxyphene napsylate) tablets, and Darvocet-N (propoxyphene napsylate and acetaminophen) tablets",,,,,,,9/1/2009
"Daytrana (methylphenidate transdermal system)

*rhabdomyolysis",,,,,X,,4/1/2015
Daytrana (methylphenidate) transdermal system,,,,,,,12/1/2009
Definity Vial for (Perflutren Lipid Microsphere) Injectable Suspension,,,,,,,10/1/2011
"Delatestryl (testosterone enanthate) Injection 

* risk of adverse cardiovascular events",,,X,X,X,,5/1/2015
"Delflex Peritoneal Dialysis (PD) Solutions (1.5%, 2.5% and 4.25% Dextrose with Standard Calcium/Standard Magnesium and with Standard Calcium/Low Magnesium) 
Delflex PD Solutions (1.5%, 2.5% and 4.25% Dextrose with Low Calcium/Low Magnesium)",,,,,,,4/1/2014
Demadex (torsemide) tablets,,,,,,,1/1/2010
Demerol (meperidine hydrochloride),,,,,,,4/1/2011
Demerol (meperidine hydrochloride),,,,,,,10/1/2011
Depacon (valproate sodium) Injection,,,,,X,,11/1/2014
Depakene (valproic acid) Capsules and Oral Solution,,,,,X,,11/1/2014
"Depakene (valproic acid) Capsules and Oral Solution
Depakote (divalproex sodium) Delayed Release
Depakote ER (Extended Release) Tablets
Depakote Sprinkle Capsules (divalproex sodium coated particles in capsules)
Depacon (valproate sodium) Injection",,,X,X,,,1/1/2015
"Depakene (valproic acid) Capsules and Oral Solution
Depakote (divalproex sodium) Delayed Release
Depakote ER (Extended Release) Tablets
Depakote Sprinkle Capsules (divalproex sodium coated particles in capsules)
Depacon (valproate sodium) Injection",,,,,,,7/1/2013
"Depakene (valproic acid) Capsules
Depakene (valproic acid) Oral Solution
Depakote (divalproex sodium) Delayed Release
Depakote Sprinkle Capsules (divalproex sodium coated particles in capsules)
Depacon (valproate sodium) Injection
Depakote ER (divalproex sodium) Extended Release Tablets",,,,,,,6/1/2014
"Depakene (valproic acid) capsules, oral solution, delayed release tablets 
Depakote Sprinkle Capsules (divalproex sodium) delayed release capsules
Depacon (valproate sodium) Injection
Depakote ER (divalproex sodium) extended release tablets",,,,,X,,3/1/2015
"Depakote Sprinkle Capsules (divalproex sodium coated particles in capsules), 

Depakote ER (divalproex sodium) Extended Release Tablets",,,,,X,,11/1/2014
Depo Provera and Depo sub-Q Provera (medroxyprogesterone acetate) Injection,,,X,X,X,,1/1/2015
DepoCyt (cytarabine liposome injection),,,,,,,8/1/2011
DepoDur (morphine sulfate extended-release) liposome injection,,,,,,,9/1/2009
Dermatop (prednicarbate cream) Cream and Dermatop (prednicarbate ointment) ointment,,,,,,,12/1/2010
Desferal (deferoxamine mesylate) for injection,,,,,,,12/1/2011
Desferal (deferoxamine mesylate) injection,,,,,,,9/1/2010
"Desoxyn (methamphetamine hydrochloride) Tablets

*rhabdomyolysis",,,,,X,,4/1/2015
Detrol (tolterodine tartrate) tablets and Detrol LA (tolterodine tartrate) extended release tablets,,,,,,,9/1/2011
"Dexedrine (dextroamphetamine sulfate) Spansule Sustained Release Capsules

*rhabdomyolysis",,,,,X,,4/1/2015
DexFerrum (iron dextran) 50 mg/mL injection,,,,,,,8/1/2009
Dexilant (dexlansoprazole) delayed release capsules,,,,,,,6/1/2010
Dexilant (dexlansoprazole) delayed-release capsules,,X,X,X,,,12/1/2014
Dexilant (dexlansoprazole) delayed-release capsules,,,,,,,5/1/2012
Dexilant (dexlansoprazole) delayed-release capsules,,,,,,,10/1/2011
Dexilant (former Kapidex) (dexlansoprazole) delayed release capsules,,,,,,,3/1/2010
"Dextrose 5%, Sodium Chloride 0.2%, and Potassium Chloride Injections
Potassium Chloride in Dextrose 5% and Sodium Chloride Injections",,,,,,,9/1/2013
Dextrose in Plastic Container,,,X,X,X,,12/1/2014
Diabeta (glyburide) tablets,,,,,,,10/1/2013
Diabeta (glyburide) tablets,,,,,,,7/1/2009
"Dianeal Peritoneal Dialysis Solution in Plastic Container, Low Calcium Peritoneal Dialysis Solution in ULTRABAG Plastic Container, and Dianeal PD-2 Peritoneal Dialysis Solution in ULTRABAG Plastic Container",,,X,,,,2/1/2015
Didrex (benzphetamine hydrochloride) tablets,,,,,,,2/1/2010
Didronel (etidronate disodium) Tablets,,,,,X,,3/1/2015
Didronel (etidronate disodium) tablets,,,,,,,12/1/2009
"Didronel (etidronate disodium) Tablets

*risk of osteonecrosis of the jaw (ONJ) with the concomitant use of bisphosphonates and angiogenesis inhibitors",,,X,X,,,4/1/2015
Diflucan (fluconazole) Injection and Powder for Oral Suspension,,,,,,,3/1/2014
Diflucan (fluconazole) Tablets and Powder for Oral Suspension,,,,X,,,10/1/2014
"Diflucan (fluconazole) Tablets
Diflucan (fluconazole) IV
Diflucan (fluconazole) Powder for Oral Suspension",,,,,,,9/1/2013
"Diflucan (fluconazole) tablets, I.V, and oral suspension",,,,,,,6/1/2011
Dilacor XR (diltiazem HCl) extended release capsules,,,,,,,6/1/2010
Dilacor XR (diltiazem hydrochloride) extended release capsules,,,,,,,6/1/2011
"Dilantin - 125 (phenytoin) Oral Suspension 
Dilantin (phenytoin) Injection",,,,,,,1/1/2014
Dilantin - 125 (phenytoin) Oral Suspension and Dilantin (phenytoin) Injection,,,,,,,4/1/2014
"Dilantin (phenytoin sodium, USP) Injection",,,,,,,3/1/2013
"Dilantin (phenytoin sodium, USP) Injection",,,,,,,11/1/2011
Dilantin (phenytoin),,,,,,,1/1/2011
Dilantin (phenytoin) Oral Suspension,,,,,,,11/1/2011
Dilantin-125 (phenytoin) Oral Suspension,,,,,,,3/1/2013
Dilatrate SR (isosorbide dinitrate) Sustained Release Tablets,,X,,X,,,10/1/2014
"Diovan (valsartan) 40 mg, 80 mg, 160 mg, and 320 mg Tablets",,,,,,,6/1/2009
"Diovan (valsartan) 40 mg, 80 mg, 160 mg, and 320 mg Tablets

* RAS Dual Blockade",,,,X,,,9/1/2014
"Diovan (valsartan) 80 mg and 160 mg Capsules

* RAS Dual Blockade",,,,X,,,9/1/2014
Diovan (valsartan) Capsules,,,,,,,10/1/2013
Diovan (valsartan) Tablets,,,,,,,2/1/2012
Diovan (valsartan) tablets,,,,,,,6/1/2011
Diovan (valsartan) Tablets,,,,,,,12/1/2011
Diovan (valsartan) Tablets and Capsules,,,,,,,3/1/2014
Diovan (valsartan) Tablets and Diovan HCT (valsartan/hydrochlorothiazide),,,,,,,7/1/2012
Diovan HCT (valsartan/hydrochloriothiazide) Tablets,,,,,,,12/1/2011
Diovan HCT (Valsartan/Hydrochlorothiazide),,,,,,,8/1/2012
Diovan HCT (valsartan/hydrochlorothiazide) Tablets,,,,,,,3/1/2014
Diovan HCT (valsartan/hydrochlorothiazide) Tablets,,,,,,,2/1/2012
Diovan HCT (valsartan/hydrochlorothiazide) tablets,,,,,,,4/1/2010
Dipentum (olsalazine sodium) 250 mg capsules,,,,,,,8/1/2009
Ditropan (oxybutynin chloride )tablets,,,,,,,7/1/2009
Ditropan (oxybutynin chloride) Tablets,,,,,,,3/1/2012
Ditropan (Oxybutynin chloride) Tablets,,,,,,,8/1/2011
Ditropan XL (oxybutynin chloride) Extended Release Tablets,,,X,X,,,2/1/2015
Ditropan XL (oxybutynin chloride) Extended Release Tablets,,,,,,,3/1/2012
Ditropan XL (oxybutynin chloride) Extended Release Tablets,,,,,,,11/1/2012
"Ditropan XL (oxybutynin chloride, USP) Extended Release tablets",,,,,,,7/1/2009
Divigel (estradiol gel),,,,,,,5/1/2012
Docefrez (docetaxel) Injection,,,X,X,,,10/1/2014
Docetaxel Injection,,,,,,,7/1/2014
"Docetaxel Injection Concentrate, 1 20 mg/1 mL, 80 mg/4 mL, and 140 mg/7 mL",,,X,X,X,,9/1/2014
"Docetaxel Injection Solution for Intravenous Infusion, 10 mg/mL, 1 20 mg/12mL, 80 mg/8mL, and 160 mg/16mL",,,,,,,4/1/2014
Dolophine (methadone) Tablets,,,,X,,,4/1/2015
Doral (quazepam) 7.5 mg and 15 mg oral tablets,,,,,,,9/1/2009
Doribax (doripenem) for Injection,,,,,,,1/1/2014
Doryx (doxycycline hyclate) delayed-release tablets,,,,,,,3/1/2011
Dostinex (cabergoline) Tablets,,,,,,,7/1/2011
Dostinex (cabergoline) Tablets,,,,,,,8/1/2011
Dovonex (calcipotriene cream) Cream and Ointment,,,X,,X,,3/1/2015
"Doxil (doxorubicin HCl liposome injection) for intravenous infusion, single dose vial: 1 20 mg/10 mL and 50 mg/25 mL",,,,,,,9/1/2012
Doxorubicin (doxorubicin hydrochloride) for injection,,,,,,,9/1/2011
"Droxia (hydroxyurea capsules, USP) 1 200 mg, 300 mg, 400 mg and Hydrea (hydroxyurea capsules, USP) 500 mg",,,,,,,1/1/2012
Droxia and Hydrea (hydroxyurea) capsules,,,,,,,5/1/2010
DRUG NAME,SECTIONS MODIFIED,,,,,,2/1/2015
DRUG NAME,SECTIONS MODIFIED,,,,,,3/1/2015
DRUG NAME,SECTIONS MODIFIED,,,,,,4/1/2015
DRUG NAME,SECTIONS MODIFIED,,,,,,5/1/2015
DRUG NAME,SECTIONS MODIFIED,,,,,,9/1/2014
DRUG NAME,SECTIONS MODIFIED,,,,,,10/1/2014
DRUG NAME,SECTIONS MODIFIED,,,,,,11/1/2014
DRUG NAME,SECTIONS MODIFIED,,,,,,12/1/2014
Duac (clindamycin phosphate and benzoyl peroxide) Gel,,,,,X,,4/1/2015
Duetact (pioglitazone HCl plus glimepiride fixed-dose combination) tablets,,,,,,,9/1/2009
Duetact (pioglitazone HCl plus glimepiride) fixed-dose combination tablets,,,,,,,9/1/2010
Duetact (pioglitazone hydrochloride and glimepiride) fixed-dose combination Tablets,,,,,,,8/1/2011
Duetact (pioglitazone hydrochloride and glimepiride) Tablets,,X,X,X,X,,3/1/2015
Duetact (Pioglitazone Hydrochloride) Tablet,,,,,,,11/1/2013
Dulera (mometasone furoate and formoterol fumarate) Inhalation Aerosol,,,,,,,8/1/2011
Dulera (mometasone furoate/formoterol fumarate) Inhalation Aerosol,,,,,,,4/1/2014
Dulera (mometasone furoate/formoterol fumarate) Inhalation Aerosol,,,,,,,1/1/2013
Dulera (mometasone furoate/formoterol fumarate) Inhalation Aerosol,,,,,,,7/1/2013
DuoNeb (albuterol sulfate and ipratropium bromide) Inhalation Solution,,,,,,,5/1/2012
Duraclon (clonidine hydrochloride) injection,,,,,,,7/1/2010
DuraPrep Surgical (iodine povacrylex (0.7% available iodine) and isopropyl alcohol (74% w/w)) solution,,,,,,,3/1/2010
Dutoprol (metoprolol succinate extended release/hydrochlorothiazide) tablets,,X,X,X,X,,10/1/2014
Dutoprol (metoprolol succinate extended release/hydrochlorothiazide) tablets,,,,,,,3/1/2011
Dyazide (hydrochlorothiazide/triamterene) capsules,,,,,,,2/1/2010
Dyna-Hex 0.75 (chlorhexidine gluconate 0.75% solution),,,,,,,5/1/2013
Dysport (abobotulinumtoxinA),,,,,,,5/1/2012
EC-Naprosyn (naproxen delayed-release tablets),,,,,,,3/1/2013
Edarbi (azilsartan medoxomil) 40 mg and 80 mg Tablets,,,,,,,4/1/2014
Edarbi (azilsartan medoxomil) Tablets,,,,,,,7/1/2014
Edarbyclor (azilsartan medoxomil/chlorthalidone),,,X,X,,,4/1/2015
Edarbyclor (azilsartan medoxomil/chlorthalidone) Tablets,,,,,,,7/1/2014
Edaryclor (azilsartan medoxomil and chlorthalidone) 40 mg/12.5 mg and 40/25 mg Tablets,,,,,,,4/1/2014
Edex (alprostadil) for Injection,,X,,,,,3/1/2015
Edurant (rilpivirine) Tablet,,,X,X,X,PCI,5/1/2015
Edurant (rilpivirine) tablets,,,,,,,5/1/2014
Effexor (venlafaxine HCl) tablets and Effexor XR (venlafaxine HCl) extended-release capsule,,,,,,,1/1/2010
Effexor (venlafaxine HCl) tablets and Effexor XR (venlafaxine HCl) Extended-Release capsules,,,,,,,11/1/2009
"Effexor (venlafaxine HCl) Tablets
Effexor XR (venlafaxine HCl) Extended-Release Capsules",,,,,,,5/1/2012
Effexor XR (venlafaxine hydrochloride) extended-release tablets,,,,,,,7/1/2014
Effient (prasugrel hydrochloride) 5 mg and 10 mg Tablets,,,,,,,9/1/2011
Effient (prasugrel hydrochloride) Tablets,,,,,,,11/1/2012
"Elelyso (taliglucerase alfa) for injection, for intravenous use",,,,,,,8/1/2014
Eligard (Leuprolide Acetate for Injectable Suspension),,,X,X,,,10/1/2014
Eligard (leuprolide acetate) for Injectable Suspension,,,,,,,1/1/2011
Eligard (leuprolide acetate) for injectable suspension,,,,,,,10/1/2010
Eligard (leuprolide acetate) injectable suspension,,,,,,,4/1/2011
Eliquis (apixaban) 2.5 and 5 mg Tablets,,,,,,,1/1/2014
Eliquis (apixaban) tablets for oral use,,,,,,,8/1/2014
"Elitek (rasburicase) Solution, for Intravenous Infusion",,,,,X,,5/1/2015
Ella (ulipristal acetate),,,,,,,5/1/2012
Ella (ulipristal acetate) tablet,,,,,,,6/1/2014
Ella (ulipristal acetate) Tablets,,,X,X,,,3/1/2015
Ellence (epirubicin hydrochloride) injection,,,,,,,9/1/2011
Eloxatin (oxaliplatin)  for intravenous use,,,,,,,12/1/2011
Eloxatin (oxaliplatin) Injection,,,,,,,7/1/2013
Elspar (asparaginase),,,,,,,7/1/2013
Emend (aprepitant) capsules,,,,,,,8/1/2014
Emend (aprepitant) capsules,,,,,,,3/1/2010
Emend (fosaprepitant dimeglumine) for Injection,,,,,,,8/1/2014
Emend (fosaprepitant dimeglumine) for injection,,,,,,,3/1/2010
"Emsam (Selegiline Transdermal System) 6 mg/24 hours, 9 mg/24 hours, and 12 mg/24 hours",,,,X,,PCI,9/1/2014
Enablex (darifenacin) extended-release tablets,,,,,,,1/1/2012
Enablex (darifenacin) Extended-Release Tablets,,,,,,,3/1/2012
Entereg (alvimopan) Capsules,,,,,,,10/1/2013
Entereg (alvimopan) capsules,,,,,,,11/1/2009
Entocort EC (budesonide) Capsules,,,,,,,6/1/2009
Eovist (gadoxetate disodium) Injection,,,,,,,10/1/2013
Eovist (Gadoxetate disodium) injection,,,,,,,12/1/2010
Epivir (lamivudine) Tablets and Oral Solution,,,X,X,,,2/1/2015
"Epogen/Procrit (epoetin alfa) and 
Aranesp (darbepoetin alfa)",,,,,,,7/1/2011
Eraxis (anidulafungin) for Injection,,,,,,,11/1/2010
Eraxis (anidulafungin) Powder for Injection,,,,,,,7/1/2012
Erbitux (cetuximab),,,X,X,,,4/1/2015
Erbitux (cetuximab),,,,,,,3/1/2013
Erbitux (cetuximab),,,,,,,1/1/2012
Erbitux (cetuximab) Injection for Intravenous Infusion,,,X,X,X,,3/1/2015
Erivedge (vismodegib) Capsules,X,,X,X,X,,5/1/2015
Erwinaze (asparaginase Erwinia chrysanthemi),,,,,,,3/1/2014
Estrasorb (estradiol) topical emulsion,X,X,X,X,X,,3/1/2015
Estring (estradiol vaginal ring),,,,,,,8/1/2014
Ethrane (enflurane) liquid for inhalation,,,,,,,1/1/2010
Etopophos (etoposide phosphate) powder for injection,,,,,,,3/1/2011
Evamist (estradiol transdermal spray),,,,,,,3/1/2014
Evamist (estradiol transdermal spray),,,,,,,10/1/2011
Evicel (Fibrin Sealant),,,,,,,4/1/2010
Evoclin (clindamycin phosphate) Foam,,,,,,,1/1/2012
Excedrin Migraine (250 mg acetaminophen/ 250 mg aspirin/ 65 mg caffeine) tablets,,,,,,,2/1/2010
"Excedrin Migraine (acetaminophen 250 mg, aspirin 250 mg, caffeine 65 mg) Tablets, Caplets, and Geltabs",,,,,,,4/1/2014
"Excedrin Migraine (acetaminophen and caffeine) Tablets, Caplets and Geltabs",,,,,,,7/1/2014
Exelon (rivastigmine tartrate) Capsule and Oral Solution,,,X,X,X,,2/1/2015
Exelon (rivastigmine tartrate) capsules and oral solution,,,,,,,10/1/2013
Exelon Patch (rivastigmine) transdermal system,,,X,X,X,,2/1/2015
Exelon Patch (rivastigmine) transdermal system,,,,,,,8/1/2010
Exforge (amlodipine and valsartan) tablets,,,,,,,3/1/2010
"Exforge (amlodipine/valsartan) 5/160 mg, 10/160 mg, 5/320 mg, and 10/320 mg Tablets",,,,,,,9/1/2012
"Exforge (amlodipine/valsartan) 5/160 mg, 10/160 mg, 5/320 mg, and 10/320 mg Tablets 

* RAS Dual Blockade",,,,X,,,9/1/2014
Exforge (amlodipine/valsartan) Tablets,,,,,,,3/1/2014
Exforge (amlodipine/valsartan) Tablets,,,,,,,5/1/2011
Exforge (amlodipine/valsartan) Tablets,,,,,,,10/1/2011
